Participant	Austria	Belgium	Bosnia & Herzegovina	Croatia	Cyprus	Estonia	France	Germany	Greece	Iceland	Ireland	Israel	Latvia	Malta	Norway	Poland	Portugal	Romania	Russia	Slovenia	Spain	Sweden	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Iceland		3		6	5	1	1	1			7		3	12	12	1				4		7	6	8	4		81	8
Austria		2	5	5	4	6		2	2	10			4		8		10			7	8	6	8	6		8	101	6
Ireland		1		4	7					2			1	5	6		7			2				5	1	12	53	11
Turkey	12	12	12	10	8		10	10	7	3		7		4	10	2	8	10		10	3	8	12		2	7	167	1
Malta											3						1										4	25
Bosnia & Herzegovina	7			8																				12			27	16
Portugal							6				2										2				3		13	22
Croatia	5		6						1		6									8				3			29	15
Cyprus									12			1		2													15	20
Germany	1					2				8	4		2	3		5		1	7		4	10	2			4	53	11
Russia	8	7	3	12	10	12	7	8	10	4		10	12	1	2	4	4	7		12	6	2	1	10	12		164	3
Spain		10		7	6				5	6		12					12	5	6	1		4	5	2			81	8
Israel							8		3										5		1						17	19
The Netherlands		8	2								5	2		7	5				10			5				1	45	13
United Kingdom																											-	26
Ukraine						3						4	5			10			8								30	14
Greece					12			5			1							2	1					4			25	17
Norway	2	6				10	3	7		12	12	3	7	6		6	5	3	4	5		12	7		7	6	123	4
France			8													3	2	6									19	18
Poland	10	5				4	5	12	6				8	10	4			4			5	3	4		8	2	90	7
Latvia						5																					5	24
Belgium	4		10		3	8	12	6	8	7	10	8	10		3	12	6	8	3	3	12		10	7	10	5	165	2
Estonia										1	8								2							3	14	21
Romania	6		7	1	2		4	4	4			6			1	8			12		10	1		1	6		73	10
Sweden	3	4	1	2	1	7	2	3		5		5	6	8	7	7	3	12		6	7		3		5	10	107	5
Slovenia			4	3																							7	23
