Participant	Albania	Andorra	Austria	Belarus	Belgium	Bosnia & Herzegovina	Croatia	Cyprus	Denmark	Estonia	F.Y.R. Macedonia	Finland	France	Germany	Greece	Iceland	Ireland	Israel	Latvia	Lithuania	Malta	Monaco	Norway	Poland	Portugal	Romania	Russia	Serbia & Montenegro	Slovenia	Spain	Sweden	Switzerland	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Spain		12		2	7			7			1		8	2	3	1		8			3	3		1	12	5						6	4	2			87	10
Austria													4		5																						9	21
Norway																															3						3	24
France	1	7			10																	12			2		4			4							40	15
Serbia & Montenegro	7	2	12	7	3	12	12	10	7	1	10	10	10	10	8	7	3	7	5	2	6	1	6	5	7	8	10		12	6	12	12	10	8	12	3	263	2
Malta	3	6				1	2		1	6	3				1		6	4	6	4				3	1										1	2	50	12
The Netherlands					6					3											2																11	20
Germany	2		10			3	1			2			7				4			1		7	1	6	8	4			3	12		10	3	5		4	93	8
Albania			5		1	4	6		4		12	3	1	5	10	4	2		1		10		3			1		8	4		7	7	1	6		1	106	7
Ukraine	5	10	4	10	5	6	8	8	5	12	8	8	2	6	7	12	7	12	12	12	8	6	7	12	10	6	12	10	8	8	10		7	12		5	280	1
Croatia			3	5		10					5	1		1													5	5	5			3			7		50	12
Bosnia & Herzegovina	10		7				10		8		4											4	10					6	10		8	5	2	7			91	9
Belgium		1						1																									5				7	22
Russia				12				6		8		4			2			6	10	8								1							10		67	11
F.Y.R. Macedonia	6					8	5														1							12	7			1		4	3		47	14
Greece	12	8	2	6	8	5	7	12	3	5	7	6	6	7		6	5	10	7	10	12	10	2	7	6	12	7	7	6	7	4	4	6	10	8	12	252	3
Iceland									2			2										5	5				2										16	19
Ireland																																				7	7	22
Poland								2						4	4	3				7										1	1				5		27	17
United Kingdom				1						4						2	8		3		4			2		2	1				2						29	16
Cyprus		4	6	8	4		4		6	7		7	5	8	12	10	10	3	4	5	7	2	4	4	3	3	6	3	1	3	6	2	8	1	4	10	170	5
Turkey	8	3	8	3	12	7	3	4	10		6	5	12	12	6	5	1	2	2	3		8	8	8		10	8	2		2	5	8	12		6	6	195	4
Romania								3										1							4					10							18	18
Sweden	4	5	1	4	2	2		5	12	10	2	12	3	3		8	12	5	8	6	5		12	10	5	7	3	4	2	5				3	2	8	170	5
