Participant	Albania	Andorra	Austria	Belarus	Belgium	Bosnia & Herzegovina	Croatia	Cyprus	Denmark	Estonia	F.Y.R. Macedonia	Finland	Germany	Greece	Iceland	Ireland	Israel	Latvia	Lithuania	Malta	Monaco	Norway	Portugal	Romania	Serbia & Montenegro	Slovenia	Spain	Sweden	Switzerland	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Finland	7				1			6		7	2			5	3						6	3					3	8						51	14
Belarus										2					1				2													5		10	19
Switzerland																																		-	22
Latvia				4						5						4	2		6		2													23	17
Israel	5	3	1	3	2			2	2			2	1	3						6			7	5	3		4			2	4		2	57	11
Andorra																											12							12	18
Portugal		12			4																1			8			6		7					38	15
Malta	6	5		1		4	1		4	10	4			1	2	1	6	7	7				4			1				3		2	5	74	8
Monaco	2	4						4																										10	19
Greece	12	8	5	8	10	5	6	12	3	4	7	5	10		6	2	12	6	8	12	4	5	8	12	10	4	7	4	3	6	12	10	12	238	3
Ukraine	3	10	4	12	8	7	8	8	6	12	8	8	6	7	10	10	10	10	12	10	5	7	12	7	8	8	10	6	2	7	8		7	256	2
Lithuania				2				7						2		3	1	8		3														26	16
Albania		6	7		5	6	7	1	7	1	12	6	8	8	4	5	4	5		8	3	8	2	6	6	5	2	7	10	5	6	1	6	167	4
Cyprus		2	6	6	6		2		5	6		7	4	12	8	8	3	3	4	5	12	4	3	1	2	3	1	3	1	10	5	7	10	149	5
F.Y.R. Macedonia	8		2			8	5		1				3	4						1				4	12	6		2	5	1	3	6		71	10
Slovenia						1	3				1																							5	21
Estonia	1											12			7			12	10			1	5		4			1				3	1	57	11
Croatia			8	7		10					6	1	5					1	3				1		5	7			6	4		8		72	9
Denmark						3		3		3		4			12		5			2	10	6		2				5			1			56	13
Serbia & Montenegro	4	1	12	10	7	12	12	10	10		10	10	12	10		6	8	4	1	4	7	10	10	10		12	8	12	12	12	7	12	8	263	1
Bosnia & Herzegovina	10		10		3		10		12		5		7			7						12			7	10		10	8	8	10		4	133	7
The Netherlands		7	3	5	12	2	4	5	8	8	3	3	2	6	5	12	7	2	5	7	8	2	6	3	1	2	5		4		2	4	3	146	6
