To	Total Score	Austria	Lithuania	Portugal	Monaco	Belarus	Netherlands	Iceland	Belgium	Estonia	Finland	Andorra	Bulgaria	Ireland	Slovenia	Poland	Hungary	United Kingdom	Malta	Romania	Norway	Turkey	Moldova	Albania	Cyprus	Spain	Israel	Serbia and Montenegro	Denmark	Sweden	Macedonia	Ukraine	Germany	Croatia	Greece	Russia	Bosnia and Herzegovina	Switzerland	Latvia	France
Austria	30											7			10									5									1		1			6		
Lithuania	17													5				4																					8	
Portugal	51								10																	5							12					12		12
Moldova	207	8	10	8		10		8	4	5	3		6	3	7	6	6	5		12	1	12		3	8	1	10	6			10	12		4	6	12	6		10	5
Latvia	85		12	4		7		2		10				6	6				12		3				2		6		5			2		7		1				
Monaco	22											10											2																	10
Israel	158		2	6	12	12	10		3		1	12	4	7		4	5	6	6	8		6	5	7	3	4		3	4		1	5	3			8		3		8
Belarus	67		3		1								12			1			7			3			7		2				6	4			8	10			3	
Netherlands	53				8				12			5		4				2	8	1							5		6									2		
Iceland	52											6						3			8		10			2	4		10	7										2
Belgium	29			12			6																3	1																7
Estonia	31		5								6			1	2		1						1						3										12	
Norway	164	2	6	1		5	2	12	2	6	12		2	10	3	7		7	3	7		2	8	2	4		7	4	12	8	2	6			4		7	5	6	
Romania	235	10		10	7	3	8	5	8	1	4	4	5	8	1	8	12	8	10		7	7	12		12	12	12	5	7	5	5	1	7	1	12	3	5	4		6
Hungary	167	7		7		4		7	6	4	5	1	7		4	12		1	2	10	6	8			6	3	8	8	1	3	4	10		8	5	7	3	1	5	4
Finland	50				6		1			8		3									10								8	10			4							
Macedonia	97	4			3		3						10		8					4		10		12				10		1			2	12			10	8		
Andorra	27						7																4	6		10														
Switzerland	114	1	8	2	2	8		6		12	10		3	2	5	5	3		1	2	2				5		3	2	2	4	3		6	3	3	2	2		7	
Croatia	169	12	4	3	5	1	4	4	1	3	2		8		12	3	8			6	4		6	10				12		6	12	7	10				12	10	4	
Bulgaria	49																					5	7	4	10	6		1			8				7		1			
Ireland	53									2		2	1			2	10	12	5	5		4			1									5			4			
Slovenia	69	3			4	2		1			7						2							8			1	7			7	3		10		6	8			
Denmark	185	6	7	5	10		12	10	7	7	8	8		12		10	7	10	4	3	12					8				12			5	6	2	4		7	2	1
Poland	81	5	1			6	5	3	5								4				5	1				7				2		8	8	2	10	5			1	3
