To	Total Score	Slovenia	Andorra	Romania	Denmark	Latvia	Portugal	Sweden	Finland	Belgium	Croatia	Serbia and Montenegro	Norway	Estonia	Ireland	Malta	Lithuania	Cyprus	Netherlands	Switzerland	Ukraine	Russia	Poland	United Kingdom	Armenia	France	Belarus	Germany	Spain	Moldova	Bosnia and Herzegovina	Iceland	Monaco	Israel	Albania	Greece	Bulgaria	Macedonia	Turkey
Armenia	150			2				3		12								12	12	3	7	12	3	3		12	7	7	12	2				10	3	10	8		10
Bulgaria	36						1											8								4			5						8	3		6	1
Slovenia	49								1		6	7				5					2				2		2				7		3	4	7			3	
Andorra	8																												8										
Belarus	10																				1	6								3									
Albania	58	1						2			7		3							10		2		2	1			3			5					7		12	3
Belgium	69	5	7		3		2	5	3					3	5	7	2	1	7				4			3			2			4	6						
Ireland	79	3			5	4	4	1	4	3		1	6	6		6	4		3	2		1	2	8						1		2	7	5	1				
Cyprus	57			4												4				1	3			7	7		1	2					10		4	12	2		
Monaco	14		3											2									1			8													
Macedonia	76	8		1							8	10								6					8						10				12		5		8
Poland	70					3				1			2		7	1	8		2		10	5		1	3	2	4	6	4	4		3		2		2			
Russia	217	4	4	7	1	12	7	7	6	2	3	6	4	10	4	8	12	10	1		12		8		12		12	5		12	4	6		12		5	12	5	4
Turkey	91			10	6					8			1						10	8						10		8			12			3	6		1	8	
Ukraine	146	2	6	8		6	10		2		2	5		4	3	3	6	6				10	6		10		10		3	10	3	5	2	8		4	3	2	7
Finland	292	10	10	5	10	8	8	12		10	10	8	8	12	10	10	10	7	6	5	6	8	12	12		5	8	12	10	5	8	12		7		8	7	7	6
Netherlands	22		2							4							1	3							4							1			2				5
Lithuania	163	6	5	3	4	10	5	4	8	7	5	3	5	8	12			4	5		5	4	10	10			6	1		6	2	8	4			1	6	4	2
Portugal	26		12																	7						7													
Sweden	214	7	8	6	12	5	12		10	5	4	4	10	7	8	12	5	2	4	4	4	3	7	6	6		5	4	7	7	6	10	8	6	5		4	1	
Estonia	28				2	7		8	5						1																		5						
Bosnia and Herzegovina	267	12	1	12	8	2	6	10	12	6	12	12	12	1	6	2	3	5	8	12	8	7	5	4	5	6	3	10	1	8		7	12	1	10	6	10	10	12
Iceland	62				7	1	3	6	7		1	2	7	5	2		7							5		1			6		1		1						
