Participant	Albania	Andorra	Armenia	Austria	Belarus	Belgium	Bosnia & Herzegovina	Bulgaria	Croatia	Cyprus	Czech Republic	Denmark	Estonia	F.Y.R. Macedonia	Finland	France	Georgia	Germany	Greece	Hungary	Iceland	Ireland	Israel	Latvia	Lithuania	Malta	Moldova	Montenegro	Norway	Poland	Portugal	Romania	Russia	Serbia	Slovenia	Spain	Sweden	Switzerland	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Bosnia & Herzegovina	8		1	8					10		4	7		4		1		3										7	6					8	8		6	8	7	10			106	11
Spain	12					3										6			1				2			2		4			8							5					43	20
Belarus	2		10				4	1		6	2		7	7			8		5	4	4		12	8	7	10	10	3		7	1	1	12	2							12		145	6
Ireland	5																																										5	24
Finland		7			1							4	6					1			12				5				4								12	1					53	17
F.Y.R. Macedonia	3			1			8	10	8		5						1											10						10	10			6		1			73	14
Slovenia					4	2	7		7					6										4	1	5		8		4	3		3	5		3					4		66	15
Hungary		6		2		5			4			8	4		10		5	7			8	5		5	4	1			8	2	2	8		12	5		8	3	4			2	128	9
Lithuania		1			2																	12		10																		3	28	21
Greece	7		8		3	8	3	12		12	3	1		3		3	4	10		7	5		1				6					10		4		2	4	4	5	4		10	139	7
Georgia			5		6	6	1		2	1	1		5		7				3	2		1	6	6	12		4			5			7		2				2	5	8		97	12
Sweden		2										12			8						10								12													7	51	18
France	4	8	2										2												3																		19	22
Latvia									1				10									10			10	4			3	1		2			6				3			4	54	16
Russia		3	12		12		2	5	3	7	6	2	12	5	3	2	7	6	8	6	1	6	8	7	6	6	8	6	5	3	4	3		7	3	4	5			8	10	6	207	3
Germany	6	5		7								5	3		1						2															5	1	7	6			1	49	19
Serbia	1		7	12	7	7	12	6	12	3	8	6		12	12	8	6	8	4	12	7	4	3	3		8	5	12	10	8	5	6	5		12	1	10	12	8		6		268	1
Ukraine		12	6	4	10	1	5	3	5	4	12	3	8	2	6	4	10	5	7	3	6	8	10	12	8	3	7	2	2	12	12	4	8	3	4	7	3	2	1	3		8	235	2
United Kingdom																						7				12																	19	22
Romania		10		3				2		5						7			2	8		3	7	1			12				7		1			12				2	2		84	13
Bulgaria			4	6		4	6		6	10	7		1	8	5	5		4	12	10				2		7	3	5			6	5	4	6	7	10				6	3	5	157	5
Turkey	10			10		12	10	7				10		10	4	12	2	12		1	3						1	1	7			7	2				7	10	12		1	12	163	4
Armenia				5	5	10		8		8	10					10	12	2	6				5				2			10			10			8			10	12	5		138	8
Moldova		4	3		8			4		2				1	2		3		10	5		2	4		2				1	6	10	12	6	1	1	6	2			7	7		109	10
