To	Total Score	Montenegro	Belarus	Armenia	Andorra	Austria	France	Denmark	Greece	Spain	Serbia	Finland	Turkey	Bosnia and Herzegovina	Belgium	Portugal	Albania	Romania	Cyprus	Croatia	Slovenia	Israel	Germany	Lithuania	Norway	Switzerland	Czech Republic	Netherlands	Ireland	Malta	Estonia	Georgia	Bulgaria	Sweden	Ukraine	Russia	Latvia	Iceland	Poland	Moldova	United Kingdom	Macedonia	Hungary
Bulgaria	146	5		1		6	8		10	10	5	2	12	3	2	5	1	1	12	6	3	6	4				10			3		3			2					5	6	7	8
Israel	17						6																	4			2				3					1		1					
Cyprus	65			4			5		12						5		8	7				4	3										7								10		
Belarus	176	4		12				1	7		4		5	2		1	4	3	10			12		10	3		5		6	7	7	4	6	3	12	12	10	4	4	12		4	2
Iceland	77		3					10				12												5	12						6	1		12			6						10
Georgia	123		8	8			4		6	3		4	10		1				7			8		8				5			10		3		10	10	7		3	8			
Montenegro	33										8			5			7			5	5																					3	
Switzerland	40				6			3	2										2	1	2		8							10	2						4						
Moldova	91		12	7					3	6			8			12		12	6			3							2			7	1		6	6							
Netherlands	38				5			4							10	3						1			1	1				8													5
Albania	49	6				3			8				4	4						3			1			7							2								1	10	
Denmark	45				2						3											5			4			1	5	6				4				8			7		
Croatia	54	7				7					6			10			3				8		2			5																6	
Poland	75	1	5	5	10	4	3	2			2								3				5	3					10			6			5		1	2			3	2	3
Serbia	298	12	10	10		12	7	6	5	5		8		12	4	4	2	6	8	12	12	7	10	1	8	12	12	10	8	1		8	8	10	8	8	2	10	5	6	5	12	12
Czech Republic	1																														1												
Portugal	88		7	6	12		10			8	1				3				1		1		7			8		4									3		10	7			
Macedonia	97	10				5					10		6	7			10	2		8	10					6	6						12	5									
Norway	48	2		3	3			7		4		1				2												3		2	4			6				7	2	1			1
Malta	15												7				6																								2		
Andorra	80		4						4	12		5	2			6				2	4	2		2	2		7		4		5			2		4		6	6			1	
Hungary	224		1		4	8	2	12		1	12	10	1	1	7	10	5	10	4	7	6		6	7	10	4	8	8	7	4	8	10	4	8	4	3	8	12	8		4		
Estonia	33											6												6					3			2					12			4			
Belgium	14																											2				12											
Slovenia	140	8	6		8	2	1			7	7		3	6	6	7		4		10					5		4	6	1	5			5		7	5	5		7	3		5	7
Turkey	197	3		2	7	10	12	8		2		7		8	12		12	8					12		6	10	1	12					10	7	1	7		3	1	10	12	8	6
Austria	4				1																					3																	
Latvia	168		2			1		5	1			3			8	8		5	5	4	7	10		12	7	2	3	7	12	12	12	5		1	3	2		5	12	2	8		4
