Participant	Albania	Andorra	Armenia	Azerbaijan	Belarus	Belgium	Bosnia & Herzegovina	Bulgaria	Croatia	Cyprus	Czech Republic	Denmark	Estonia	F.Y.R. Macedonia	Finland	France	Georgia	Germany	Greece	Hungary	Iceland	Ireland	Israel	Latvia	Lithuania	Malta	Moldova	Montenegro	Norway	Poland	Portugal	Romania	Russia	San Marino	Serbia	Slovenia	Spain	Sweden	Switzerland	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Romania										3						4						3	6				12				4			1			12							45	20
United Kingdom																						8												6										14	25
Albania				1			1		8					12					10									7						3		4			8		1			55	17
Germany								12																															2					14	23
Armenia	2				7	12	6	8		10	12			1		12	12	6	12		1		8				2	1		12		4	12	8	5	5	10	2		12	10	7		199	4
Bosnia & Herzegovina				3					12		1	2		5	6	2		5				2						10	10						12	10		10	7	7	6			110	10
Israel	4		6	7	4	5	5	2	2	2					8	6	3	3	1	3					3		6	5	3	5		6	6	10	7	3			1	3		5		124	9
Finland		4											10								7			1					4	2								7						35	22
Croatia			2				10							2			1	2						5				2			3	1	1		3	8			3			1		44	21
Poland																						10																					4	14	24
Iceland												12			7								4	2		6			8		7						4	8					6	64	14
Turkey	10			12	3	10	8	5				4		7	4	10	6	10		5									2			8	2	4					6	10		4	8	138	7
Portugal		10				6			3							8		4			6													5	1		8		10	5		3		69	13
Latvia		2							4		3	6	7				2				4	12			10	7		3			8						2	3					10	83	12
Sweden	3									1		8	2		5					1	3		1		1	12			7						2		1							47	18
Denmark											2		3							2	12	1		7	2	4			12		5			2				5					3	60	15
Georgia			10	4	6					7	4		5						4				2	8	5	5	3				1		7								4	8		83	11
Ukraine	8	6	5	10	10	1	3	7	7	6	8	7	4	4	3		10		6	6	5	6	10	10	6	10	7	4		10	12	3	8		6	2	7				8		5	230	2
France		3	4									5	6		2						8			3	8				1	1								4					2	47	19
Azerbaijan		7			8	7		3			10			8			7	1	3	12			3	4	7		8			7		2	10			1				2	12	10		132	8
Greece	12	8	8	6	2	8	7	10	5	12	5	3	1	3		3	4	12		8		4	5			2	4	6		3		12	3	12	8	6	3	1	5	6	7	2	12	218	3
Spain	1	12	1			4				4		1			1	5			8												10								4		3		1	55	16
Serbia	5		3	2	1		12	4	10	5	6			10		7		8	5	7	2					1	1	12	6	4		7	4			12		6	12	8				160	6
Russia	6	5	12	8	12	3	4	6	6	8	7		12	6	10	1	8	7	7	10		5	12	12	12	8	10	8	5	6	6	10			10	7	5			1	5	12		272	1
Norway	7	1	7	5	5	2	2	1	1			10	8		12		5		2	4	10	7	7	6	4	3	5			8	2	5	5	7	4		6	12		4	2	6	7	182	5
