To	Total Score	Montenegro	Israel	Estonia	Moldova	San Marino	Belgium	Azerbaijan	Slovenia	Norway	Poland	Ireland	Andorra	Bosnia and Herzegovina	Armenia	Netherlands	Finland	Romania	Russia	Greece	Germany	Spain
Montenegro	23					1			10					12								
Israel	104	5				2	7	10	4	10	4		7	5	7	6	10	6	8	5	4	4
Estonia	8				1												7					
Moldova	36					5		5					1		6			10	5	4		
San Marino	5												2							3		
Belgium	16			6												10						
Azerbaijan	96	3	5	4	10		5				10	5	8	3	2	4	5	7	10	7	8	
Slovenia	36	10	2		2			1			2			10	4			1	2	2		
Norway	106	4	6	8	3	7	1	7	2		7	8	10	4	8	5	12	4	7		1	2
Poland	42					10		3		2		12			1			2	3	1	5	3
Ireland	22	1	3	7			4			1				2		1	2					1
Andorra	22		4	3					1		1	1										12
Bosnia and Herzegovina	72	12		1	6			4	12	12		3				7	8				7	
Armenia	139	6	10	2	5	8	12		5	3	12	2	3	6		12	4	5	12	12	10	10
Netherlands	27		1			3	8	2		7					3			3				
Finland	79	2		12	8	4	2		3	6	5	6	12	1					4	6	2	6
Romania	94		8		12	6	6	6	6	5	3	7	6		5	3	1		1	8	3	8
Russia	135	8	12	10	7		3	8	7	8	8	4	4	7	12	2	6	8		10	6	5
Greece	156	7	7	5	4	12	10	12	8	4	6	10	5	8	10	8	3	12	6		12	7
