Participant	Albania	Belarus	Bulgaria	Croatia	Cyprus	Czech Republic	Denmark	F.Y.R. Macedonia	France	Georgia	Hungary	Iceland	Latvia	Lithuania	Malta	Portugal	Serbia	Sweden	Switzerland	Turkey	Ukraine	United Kingdom	Points	Place
Iceland	5	1			1		10		8		7		2	2	5	5		10	4	3	1	4	68	8
Sweden	1				4		12		1		1	8		3	7	3	3		3	2		6	54	10
Turkey	12	3	7				8	8	10	5	4							6	7		5	10	85	7
Ukraine		12	12	7	10	12	7	6	3	12	8	6	6	7	8	12	8	3	1	12			152	1
Lithuania										10			12									8	30	16
Albania		5		10		1		12	5			1				2		7	10	8	3	3	67	9
Switzerland	10			5	7		5	1	7						12								47	13
Czech Republic				2				5							1					1			9	18
Belarus					2					4			5	6							10		27	17
Latvia		6	1	6		5	6	4		6		7		12	6	10	2	8			2	5	86	6
Croatia	3	7	6		6	3	3	10	2	8	10	4	7	5		6	10	4	6	5	7		112	4
Bulgaria		2		1	8	2		7	6		3	5	1	1	2	1	5			6	6		56	12
Denmark	4	4	2	3	5	10		3	4	3	12	12	8	8	4	8		12	5		4	1	112	3
Georgia		10	4		12	8		2			2	2	10	10	10	7	7	1		10	12		107	5
Hungary							1			1							4						6	19
Malta	8		3	4		6	4					3	4			4						2	38	14
Cyprus	2		8							2	5						1		2	4		12	36	15
F.Y.R. Macedonia	7		10	12		4	2										12	2	8	7			64	11
Portugal	6	8	5	8	3	7			12	7	6	10	3	4	3		6	5	12		8	7	120	2
