To	Total Score	Montenegro	Czech Republic	Belgium	Belarus	Sweden	Armenia	Andorra	Switzerland	Turkey	Israel	Bulgaria	Iceland	Macedonia	Romania	Finland	Portugal	Malta	Bosnia and Herzegovina	Germany	United Kingdom
Montenegro	44				3		5	1	2	5	1			8			1	6	10	2	
Czech Republic	0																				
Belgium	1						1														
Belarus	25	2	1			1	4				4	1	1	6		4		1			
Sweden	105		6	4	7		8	7	4	4	7		10	3	4	10	8	8	4	4	7
Armenia	99	4	12	10	10	5			1	10	10	8	2	2	8	1			1	10	5
Andorra	8									1							4	3			
Switzerland	15				2	2		2								5	2		2		
Turkey	172	8	5	12	6	7	10	5	12		6	12	7	12	12	7	5	10	12	12	12
Israel	75	5	4	3	4	6	7	8	5	3		4	6	1	3	6		4		5	1
Bulgaria	7									2				5							
Iceland	174	7	10	7	12	12	12	10	7	8	12	6		4	10	12	12	12	7	6	8
Macedonia	45	10	3						6	6		10			2				8		
Romania	67	6		2	1		2	4		7	8	5	4	7			10	2	6	1	2
Finland	42	3		1		10		3					12		1		3	5			4
Portugal	70		2	6		3		12	10		2	2	8		7	2			3	7	6
Malta	86	1	7	8	8	4	3	6	3		5	3	5		6	3	6		5	3	10
Bosnia and Herzegovina	125	12	8	5	5	8	6		8	12	3	7	3	10	5	8	7	7		8	3
