To	Total Score	Croatia	Ireland	Latvia	Serbia	Poland	Norway	Cyprus	Slovakia	Denmark	Slovenia	Hungary	Azerbaijan	Greece	Lithuania	Moldova	Albania	Ukraine	Estonia	Netherlands	France	Russia	Spain
Croatia	39				12			2			10	1	6			3	1	1				3	
Ireland	52	1		5	3	3	4			10	2				7	2	7		4	3	1		
Latvia	7														6				1				
Serbia	60	12					2	4			12	2		5						6	12		5
Poland	43		10				3		3	3			1	1	3	1	6	6		2	4		
Norway	201	8	8	10	8	10		8	10	12	8	10	12	8	12	10	8	10	12	12	3	10	12
Cyprus	32		2	1	2				1	7				12	1				6				
Slovakia	8		1														4	2				1	
Denmark	69	2	7	3		1	12	3			5	3	2	2	5		5		8	7			4
Slovenia	14	7			5												2						
Hungary	16								2				8				3						3
Azerbaijan	180	6	6	8	6	12	6	10	12	8	6	12		7	10	12		12	10	8	10	12	7
Greece	110	3		4	10	2	1	12	5	2	4	6	4		4	6	12	4	5	10	6	4	6
Lithuania	66		12	7		4	7	1		5						4		5	7		2	5	1
Moldova	106	5	5	2	7	5	10	7	7		3	5	7	6				8	2	4	7	8	8
Albania	73	10				6	5		4	6	7	4	5	10		5		3		1	5	2	
Ukraine	80		3	6	1	7		6	6			8	10	3	2	8			3			7	10
Estonia	115	4	4	12	4	8	8	5	8	4	1	7	3	4	8	7		7		5	8	6	2
Netherlands	11									1							10						
