Participant	Albania	Armenia	Azerbaijan	Belarus	Belgium	Bosnia & Herzegovina	Bulgaria	Croatia	Cyprus	Denmark	Estonia	F.Y.R. Macedonia	Finland	France	Georgia	Germany	Greece	Iceland	Ireland	Israel	Latvia	Lithuania	Malta	Moldova	Norway	Poland	Portugal	Romania	Russia	Serbia	Slovakia	Slovenia	Spain	Sweden	Switzerland	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Azerbaijan				6	5	7	12		10	2		3			8		1	4	3	7	2		12	7	7	8			8				7		2		12	12		145	5
Spain	7	7			1		2						4		2					1	5	8		4			12	2	4			5						4		68	15
Norway		2								5	7				6				2				3				3				3			4						35	20
Moldova			6	4											1												6	10												27	22
Cyprus							4	4		1							12					1									2			3						27	21
Bosnia & Herzegovina	6							10				6		5																12		4					8			51	17
Belgium										10	3		6	7		12	6	10	10		4	7	10		3	10	5	4	5	5	10			2	7	6		1		143	6
Serbia	3					12		8	1			7		10		5																8		7	10	1				72	13
Belarus							1								12									3					2											18	24
Ireland								1			2		1			2				6															6				7	25	23
Greece	12	3			12	6	5		12				7	4		8		8					7	2		1	8	7		10	5		5			3	3		12	140	8
United Kingdom	1		2												3				4																					10	25
Georgia		12	8	7	4	4	6	7	5		8	5					5	2	5	5		12		5	1	4			10			1	1	6	1		5	7		136	9
Turkey	8		12	3	6	10	10	12		6	6	10	3	12	5	10			1			4			2			8		3		2	3	5	3	8		8	10	170	2
Albania					3	5		5				12				1	10	7								2		1							8		7		1	62	16
Iceland				2	8					3	4		5			4	3						6		6															41	19
Ukraine		8	10	10			7		6					2	7					2	7	6		8		3		5	7	7						7	1		5	108	10
France		6				3		3	3	7	1	1	8			3	8	6	6	3			2		4		7			4		3	2						2	82	12
Romania	5	1	7	1		2			8	8							4	5	7	8	3	2	5	12	10	6	10		3	6	1	7	10	10	4	5	2	2	8	162	3
Russia		10	3	12							10									10	8	5		10			2				6						4	10		90	11
Armenia				5	7		8		7			4		6	10	7	7			12	1			6		5		6	12	1	4		8	1		12	6	6		141	7
Germany	10		1		10	8	3	6	4	12	12	8	12	3			2	3	8		12	10	4		12	7	1	3	6	8	12	10	12	12	12	4	10	5	4	246	1
Portugal		4								4				8		6		1			6		1							2			6		5					43	18
Israel	4		5	8		1			2				10	1	4									1	5						8	6				10		3	3	71	14
Denmark	2	5	4		2			2			5	2	2					12	12	4	10	3	8		8	12	4	12	1		7	12	4	8		2			6	149	4
