Participant	Albania	Belarus	Belgium	Bosnia & Herzegovina	Estonia	F.Y.R. Macedonia	Finland	France	Germany	Greece	Iceland	Latvia	Malta	Moldova	Poland	Portugal	Russia	Serbia	Slovakia	Spain	Points	Place
Moldova		10	2			7		3		4			7			8	5	1		5	52	10
Russia		12	5	2	12		3		1	3		10	1	12	8	1		4			74	7
Estonia	1	1		1			12			1	2	12			5	4					39	14
Slovakia			1	5			2				5					5		6			24	16
Finland		7	7		10				3		6	6	2		1		3		2	2	49	11
Latvia					6		5														11	17
Serbia	3		3	12	1	10		12	4	7	3	3		3		2	4		6	6	79	5
Bosnia & Herzegovina	7	4				8		6		5			3	1	6		2	12	5		59	8
Poland	6	3	6					7	7			4		2			6			3	44	13
Belgium	4	8		4	8	4	10	10	12	10	12	8	12	6	12	12	10	7	10	8	167	1
Malta	2	2		6	3	6	1		2	2	4	1				3			12	1	45	12
Albania			8	7		12	4	2	5	12	10		6		4			2		4	76	6
Greece	10	5	10	8	2	3	8	4	8		8		8	7	7	10	7	10	8	10	133	2
Portugal	5		4	3	5	2	6	8	10		7	7	4	5	2			5	4	12	89	4
F.Y.R. Macedonia	12			10							1			4			1	8	1		37	15
Belarus					4	5		1		6		5	5	8	3	7	12		3		59	9
Iceland	8	6	12		7	1	7	5	6	8		2	10	10	10	6	8	3	7	7	123	3
