Participant	Armenia	Azerbaijan	Bulgaria	Croatia	Cyprus	Denmark	Georgia	Ireland	Israel	Lithuania	Norway	Romania	Slovenia	Sweden	Switzerland	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Lithuania	2			1	2	1	8	12			5			4				2	7	44	12
Armenia			8		12		10		12	1		10		5	3	10	4	8		83	6
Israel	8	7	1		4		5				7	3	5	8		12		6	5	71	8
Denmark	5	6	2	4	3		3	4	7	5	8	12	10	12	5	4	6	5		101	5
Switzerland							2													2	17
Sweden	3	2		2	1	12		5		3	12	1			10	6	2		3	62	11
Azerbaijan			7	10	10	5	12	10	5	2	2	8	8	3	6	1	12	12		113	2
Ukraine	10	8	6	6	6	3	7	2	2	10	4	5	1			2	3		2	77	7
The Netherlands						4	1	3	4		3		6	1	2		5			29	14
Romania	4	5	4		8	8	4	6	8	6	10		4	7	4	3	8	3	12	104	4
Slovenia				5					1											6	16
Ireland	1	4		3		6			3	7	6	4	2		12	8	1		10	67	9
Bulgaria					5												7	1	6	19	15
Cyprus	6	3	5	12		7			10	4		6		6				4	4	67	10
Croatia	7	1	3			2		1					12		7					33	13
Georgia	12	10	10	7	7			7	6	12		2	7	2	1	5	10	7	1	106	3
Turkey		12	12	8		10	6	8		8	1	7	3	10	8	7		10	8	118	1
