To	Total Score	Russia	Bulgaria	Netherlands	Italy	Cyprus	Ukraine	Finland	Norway	Armenia	Macedonia	Iceland	Slovakia	United Kingdom	Denmark	Austria	Poland	Sweden	San Marino	Germany	Azerbaijan	Slovenia	Turkey	Switzerland	Greece	Georgia	France	Serbia	Croatia	Belarus	Romania	Albania	Malta	Portugal	Hungary	Lithuania	Bosnia and Herzegovina	Ireland	Spain	Israel	Estonia	Moldova	Belgium	Latvia
Finland	57								12			10			5		5	7		2				5												1		3			7			
Bosnia and Herzegovina	125		2	8	4				4		12					12		8		7		12	10	12	3		5	12	7			7												
Denmark	134		7	12		3			7			12	6	5			3	10	4	6		8					7			1			5					12		10	10			6
Lithuania	63	2							3					6			12									12		7	2		1							10	1					7
Hungary	53						4	12				5				2		5			2						2	8			7								6					
Ireland	119		3	5				10				4	8	12	12	4	1	12		8													8	6			2		7				7	10
Sweden	185	1		10		10	1	6	10	4	6	7	10	3	10				6		3	4	4		6	1	10	1	4	4	3		6		10		5	4	5	12	12	3	4	
Estonia	44						2	7	2						2																					7		7		5		6	2	4
Greece	120	8	10		2	12	6			7	3								8	10	8			2		6		3			8	10			8							1	8	
Russia	77		4			2	8			8		1								5	4				1	4		4		5		4			3	6				8	5	5		
France	82	3			1	7	5	4		5									3						12	2			6			2	1	2			4		10			2	12	1
Italy	189					1		3		6	1	3		7		6	10		12	3	1	3		4	10	7	8	2		3	6	12	10	10	4	10	6	5	12		6		6	12
Switzerland	19												4	10														5																
United Kingdom	100	4	12		10	4	3		1	2	5	2			3				2		5	1	6		2		1			2		6	7	3		3		6		1		4		5
Moldova	97	7			8		7						5	8		5				4	7					5	4			7	12			5		4		8					1	
Germany	107			7	6				5			6			8	10	4	6				7	3	8	4		3		1	8						2	3		3				5	8
Romania	77		6	4	12										4	1					6		5												1			1	8	6	1	12	10	
Austria	64		5	1				1		3	2		3	2	1			4		12		5	1	7		3			3				2		2		7							
Azerbaijan	221	12		6		8	10	5				8	7			8	8	3	10				12	1	5	8	6		10	6	10	8	12	8	7	8	8			4	8	10	3	2
Slovenia	96	5		2		6					10		1		7	3			1	1			2					10	12		4		3	1	6		12	2		3	2			3
Iceland	61				5			8	8					4	6			1						10										4	12		1		2					
Spain	50										4		2	1								2		3			12				5	5		12							4			
Ukraine	159	10	8		7	5				12	7		12				2	2			12	6	7		7	10		6	5	10	2	3	4	7						7		8		
Serbia	85			3	3			2	6	1	8					7	6		5			10		6					8			1				5	10		4					
Georgia	110	6	1				12			10							7		7		10		8		8					12					5	12				2	3	7		
