To	Total Score	Poland	Norway	Albania	Armenia	Turkey	Serbia	Russia	Switzerland	Georgia	Finland	Malta	San Marino	Croatia	Iceland	Hungary	Portugal	Lithuania	Azerbaijan	Greece	Spain	United Kingdom
Poland	18		3							4						4		2				5
Norway	30	1		1	1				2		8	4			10		2		1			
Albania	47					8			6				8	7			4		2	12		
Armenia	54	2				7		8		8		7	7		4					8	3	
Turkey	47			12				2	5	3		2	10						12			1
Serbia	67	6	7	2				4	12		7	3	3	12	5		1	3			2	
Russia	64		4	3	12	3	6			5	3		1	5	3	3	3	5	5	3		
Switzerland	55	3	6		3		2				6			2	6	8	5	6			6	2
Georgia	74	5			8	10	4	5			1	8	2			1		12	8	10		
Finland	103	10	12		6	1	3	12	10					3	12	6	8	7	3		4	6
Malta	54		2	6	7	2	5			6			12	4		2		1	7			
San Marino	34			8	5	5				1		6		1					6	2		
Croatia	41			7			12	1				12	4		1				4			
Iceland	100	4	10		2		8	3	8		10					12	10	8		6	12	7
Hungary	72		5			6	10				12	1		6	7					5	10	10
Portugal	22			4					4	2										1	8	3
Lithuania	81	12	8		4		1	7	3	10	2				2	5	6			4	5	12
Azerbaijan	122	8		5		12		10	1	12	5	10	5	10	8	7	7	10		7	1	4
Greece	133	7	1	10	10	4	7	6	7	7	4	5	6	8		10	12	4	10		7	8
