To	Total Score	Bosnia and Herzegovina	Austria	Netherlands	Belgium	Slovakia	Ukraine	Moldova	Sweden	Cyprus	Bulgaria	Macedonia	Israel	Slovenia	Romania	Estonia	Belarus	Latvia	Denmark	Ireland	France	Germany	Italy
Bosnia and Herzegovina	109		12	10	4	12	4		8			12		12			5	2	7		10	7	4
Austria	69	7		3		5	1		4	4	10		1	7		2			5	2	1	12	5
Netherlands	13				8						5												
Belgium	53	8	1	6				6		2	6		2	2	8	1		3			6		2
Slovakia	48	6	3		3		12	7				3		3	3		3			5			
Ukraine	81	4				10		8	3	5	3	6	8	6	2	7	12		1				6
Moldova	54					4					2	5	4		12		10	1		4		5	7
Sweden	155	5	10	12	12	7	5	3		12		2	12	5	7	12	8	7	12	8	12	1	3
Cyprus	16						6															2	8
Bulgaria	48		2	2	1			5	1	10		1		4					4	1	3	4	10
Macedonia	36	10					7	1					3	8			7						
Israel	38			5	2				5	1		7			4		6				7		1
Slovenia	112	12	8	8		8		4		7	8	10	6		10	5		4	8	6	5	3	
Romania	111		6	4	10	6		12	7	8	1	4	7			6		5	6	3	8	6	12
Estonia	60		5		6		8		6		4		5				1	8	3	10	4		
Belarus	45	2				1	10	10		3		8			1	4		6					
Latvia	25		4						2							8	2		2	7			
Denmark	135	1	7	7	7	3	3	2	12	6	12		10	10	5	10	4	12		12	2	10	
Ireland	68	3		1	5	2	2		10		7			1	6	3		10	10			8	
