Participant	Albania	Austria	Azerbaijan	Belgium	Cyprus	Denmark	Finland	Greece	Hungary	Iceland	Ireland	Israel	Italy	Latvia	Moldova	Montenegro	Romania	Russia	San Marino	Spain	Switzerland	Points	Place
Montenegro	12																		8			20	15
Iceland		2		5	8	10	10	5	4			4	1	5	2	5		1	3	6	4	75	8
Greece	8	1	10	8	12	4				5	10	3	5		10	10	12	5	7	3	3	116	4
Latvia			3								4				4	2		4				17	16
Albania		12	12	10	10	7	5	10	10	3	1	5	12	4	1	12	4	2	10	4	12	146	2
Romania	5	5	7	4	6	1		8	3	4	12	8	10		12	7		8	6	12	2	120	3
Switzerland	3	3			2				8	2		1	8	7	8		2		1			45	11
Belgium	2						2	4			6						1			1		16	17
Finland	1			1		8			12	7	3	2		6							1	41	12
Israel		7			1	3	3		5					1			5	6		2		33	13
San Marino	10		5					2					3		7	4						31	14
Cyprus	6		1	3			1	12		12	5	10	7	3	3	6	7	7		8		91	7
Denmark					4		8	1	1	8	7		6	8			3	3	4		10	63	9
Russia		10	8	12	7	12	12	7	7	6	8	12	2	12	6	8	6		2	7	8	152	1
Hungary	7	4	2	6	5	5	4								5		8				6	52	10
Austria				2						1											5	8	18
Moldova	4	6	6		3	6	6	6	2		2	6	4	2		3	10	12	5	10	7	100	5
Ireland		8	4	7		2	7	3	6	10		7		10		1		10	12	5		92	6
