Participant	Belarus	Bosnia & Herzegovina	Bulgaria	Croatia	Estonia	F.Y.R. Macedonia	France	Georgia	Germany	Lithuania	Malta	Norway	Portugal	Serbia	Slovakia	Slovenia	Sweden	The Netherlands	Turkey	Ukraine	United Kingdom	Points	Place
Serbia	8	10	12	10	1	12	12	10	10	2	5	10	8		8	12	8	10		8	3	159	2
F.Y.R. Macedonia	2	8	7	7				1			1			8		6			8	5		53	9
The Netherlands					7				8	3		3				2	1		7		4	35	15
Malta	5		6	5	3	2		4		6				3	2	4	4	2	6	6	12	70	7
Belarus				2		1		8		7	4							1		12		35	16
Portugal		4		3			8		3	1		5			5	3		6	1			39	13
Ukraine	12	2	5	1	5	3	2	6		5	6	2	2	4	1		6				2	64	8
Bulgaria		3				6	3		2		2	6	6	2					10		5	45	11
Slovenia		5		8		4			4					10								31	17
Croatia	1	12				7			1					12		8				1		42	12
Sweden	7	7	10	6	12	8	6	12	12	10	8	12	10	7	12	10		12	5	7	8	181	1
Georgia	6				4					12			1						3	10		36	14
Turkey		6	8		2	10	7	3	6		12	1			3		7	7		2	6	80	5
Estonia	4		3				10	7	7	8		8	12		10	1	12	8		3	7	100	4
Slovakia					6		1				7		4	1			3					22	18
Norway	3	1	2		8					4	3		3		4		10	3	4			45	10
Bosnia & Herzegovina			1	12		5	4	2	5			4	5	5	6	5	5	5	12		1	77	6
Lithuania	10		4	4	10		5	5			10	7	7	6	7	7	2	4	2	4	10	104	3
