Participant	Albania	Armenia	Austria	Azerbaijan	Belarus	Belgium	Bulgaria	Croatia	Cyprus	Denmark	Estonia	F.Y.R. Macedonia	Finland	France	Georgia	Germany	Greece	Hungary	Iceland	Ireland	Israel	Italy	Latvia	Lithuania	Malta	Moldova	Montenegro	Norway	Romania	Russia	San Marino	Serbia	Slovenia	Spain	Sweden	Switzerland	The Netherlands	Ukraine	United Kingdom	Points	Place
France		2							1			1							2												8									14	23
Lithuania				3	5										1					1		6																1		17	22
Moldova			2	1	4	3	3					7		4						3	1	4					5		12	6		6		2				8		71	11
Finland										2				3		1					4										3									13	24
Spain	6																					2																		8	25
Belgium			3							5	2		3	5				4		4			2					3		8	5	3	2		7		12		3	71	12
Estonia													6										10	3																19	20
Belarus		5		7								5			5		1				3			1	2	4	3											12		48	16
Malta		6		8	7				3	4	5	3		2	3	5	3	8	5			10	5					10	5		10			1			8	2	7	120	8
Russia		7			8	4	5	6	5	7	12	6	2	6	6	2			1	10	7		12	7		7	7					8	10	6	5		4	4	10	174	5
Germany	3		6																		5													3		1				18	21
Armenia					2		8							7	10			3							1	1				2	1							6		41	18
The Netherlands	4		8			12		2		10	7	2	8					5	8	6				4				8	2	3			7		8	4			6	114	9
Romania	5		4	6										1			10		6			1			7	10	1	6							4				4	65	13
United Kingdom																				7					5				3				1	4	1	2				23	19
Sweden						1	4	1		8	1		4			3			4	5			4			5		12				1	6				3			62	14
Hungary	8						6	4			4		10			12	2					3		5				2			6	2			3	10	7			84	10
Denmark	1	4	5	5	1	10	2	10	7		8	12	7	12	7	10	7	10	12	12	8	12	6	2	6	6	10	7	6	4		12	12	8	10	3	10	5	12	281	1
Iceland										1	6		5			8		6										4					4		6	5			2	47	17
Azerbaijan	7		12		10	5	12	7	8					8	12	4	12	12	7	2	12		3	12	12	8	12		10	12	2	5	3	7		6	2	10		234	2
Greece	10	8	7	4	6	2	7	5	12	6		4	1			6		1			2	7	1		4		8	5	7	10	12					8	1		8	152	6
Ukraine		12	1	12	12	8	10	12	10	3	10				8		8	7	3	8	10	5	7	10	10	12		1	4	1		10		10			5		5	214	3
Italy	12	1	10			6		8	6			10		10	2		6								8		6		1		4	4	8	12		12				126	7
Norway	2	3		2	3	7	1	3	4	12	3	8	12		4	7	4	2	10		6	8	8	6	3	2	4		8	7	7	7	5	5	12	7	6	3		191	4
Georgia		10		10													5							8		3	2			5								7		50	15
Ireland									2																										2				1	5	26
