Participant	Austria	Belarus	Belgium	Croatia	Cyprus	Denmark	Estonia	Ireland	Italy	Lithuania	Moldova	Montenegro	Russia	Serbia	Slovenia	Sweden	The Netherlands	Ukraine	United Kingdom	Points	Place
Austria			3	4	2	4	1	4	2		3			2	1				1	27	14
Estonia	3	5	1			1		8	5	4	5		5			6	4	1	4	52	10
Slovenia				5								3								8	16
Croatia	5				1			1		1		5	4	10	2		3	6		38	13
Denmark	12	8	10	12	8		12	12	6	6	7	8	10	8	8	12	12	4	12	167	1
Russia	10	10	7	8	10	12	10	10	4	10	8	7		6	10	10	7	7	10	156	2
Ukraine	2	12	8	7	12	8	6	2	12	12	12	12	7	5	12	1	8		2	140	3
The Netherlands	8		12			10	7	5	1	7		2	3	1	3	8			8	75	6
Montenegro		2		6		5					6			12		2		8		41	12
Lithuania		7	6		3	2	4	6	10		2		1					5	7	53	9
Belarus					6			3	7	8	10	6	2	4	4		2	12		64	7
Moldova	7	6	5	1	5	6	3		8	3		4	12	7	7	5	6	10		95	4
Ireland		4	4	2	7	3	5			5	1		6			3	5	3	6	54	8
Cyprus	1		2				2							3					3	11	15
Belgium	4	3		3		7	8	7		2	4	1	8		6	7	10		5	75	5
Serbia	6	1		10	4				3			10			5	4	1	2		46	11
