To	Total Score	Latvia	San Marino	Macedonia	Azerbaijan	Finland	Malta	Bulgaria	Iceland	Greece	Israel	Armenia	Hungary	Norway	Albania	Georgia	Switzerland	Romania	France	Germany	Spain
Latvia	13			2					3							7	1				
San Marino	47	3		5	1	1	6			1	4	4	2			1		4	5		10
Macedonia	28		2				5	5							12		4				
Azerbaijan	139	7	3	8		3	12	12	8	12	12		12	5	8	12	3	12	8		2
Finland	64	8	7		3		1		7		1		5	8	1		2	3	7	3	8
Malta	118	6	10	12	12	5			6	5	2	7	8	12	6	6	7	7	2	5	
Bulgaria	45		8	3	4					2		10	1	1	4	4		1	1		6
Iceland	72	10				12						1	10	10			10			12	7
Greece	121	5	12	6	7	7	7	10	2		6	8	3	7	10	2	6	10		8	5
Israel	40				6	2		4	1			6			3	5		2	4	4	3
Armenia	69	1					8	8		7	8			4		10		5	12	6	
Hungary	66	2	4			8		6			3			2	7	3	12	6	3	10	
Norway	120	12	5	7	5	10	3	7	12	4	5	5	7			8	8	8		2	12
Albania	31		6	10	2					8							5				
Georgia	63	4	1	4	10		4	3	4	6	7	12	4								4
Switzerland	41					6	2	1	5	3		2	6	3	2				10	1	
Romania	83			1	8	4	10	2	10	10	10	3		6	5				6	7	1
