To	Total Score	Armenia	Latvia	Estonia	Sweden	Iceland	Albania	Russia	Azerbaijan	Ukraine	Belgium	Moldova	San Marino	Portugal	Netherlands	Montenegro	Hungary	Denmark	France	Spain
Armenia	121		6	5	8	3	5	12		12	3		10	4	12	10	8	5	12	6
Latvia	33			6	1	6			7		5		2	3			2	1		
Estonia	36	5	10		5	5			5										4	2
Sweden	131	4	8	7		10	6	6		10	8	10	3	8	8	5	10	10	6	12
Iceland	61		5	2	7					3	4		7	1	7		6	8	8	3
Albania	22										2		5		1	12		2		
Russia	63	7	4	1	2	2			10	6	1	12		5		4	5	4		
Azerbaijan	57		2	4		1	7	10		5		6	6	2	4	7	1		2	
Ukraine	118	12	7	10	6	7	3	7	12		7	8	4	7	5	8	3	7		5
Belgium	28	6						4	4			7	1		3	2			1	
Moldova	13						4	1		2						6				
San Marino	40	2	1	3		4	8	3	6	4		1					7			1
Portugal	39	3			4		1		1		6	3			2	3		3	5	8
Netherlands	150	10	12	12	12	12	2	2	3	7	10	2	12	12		1	12	12	10	7
Montenegro	63	8			3		12	5	2	1		5		6	6		4		7	4
Hungary	127	1	3	8	10	8	10	8	8	8	12	4	8	10	10			6	3	10
