Participant	Austria	Belarus	F.Y.R. Macedonia	Finland	Georgia	Germany	Greece	Ireland	Israel	Italy	Lithuania	Malta	Norway	Poland	Romania	Slovenia	Switzerland	United Kingdom	Points	Place
Malta	1	4	12	5	8	3		3		5	1		2	4	3		5	7	63	9
Israel		2	5	3		2	6								1				19	14
Norway	5		4	10	5	7	7	8			8	7		6	4	4	2		77	6
Georgia		5				1	1				6	2							15	15
Poland	2	10	3			12	3	2	4	10	4	1	7			5	3	4	70	8
Austria		7	6	12	10	4	12	12	10	12	10	10	8	10	12	10	12	12	169	1
Lithuania		6			7			5		1			5	2				10	36	11
Finland	8		10		1	5	4	10	3	8	5		12	8	5	2	8	8	97	3
Ireland	4		7				2		1			4	3	5	2	1	1	5	35	12
Belarus	10		2	7	12		8	1	7		12	6	1	7	8	6			87	5
F.Y.R. Macedonia		1		1	2				2	2		3				12	10		33	13
Switzerland	6	3	1	8		10	5	6	5	3	7	5		12	10	8		3	92	4
Greece	3	12		4	3	6		4	6	6		8	6	1	7	3	4	1	74	7
Slovenia	7			2	4				8	7	3		4	3	6		6	2	52	10
Romania	12	8	8	6	6	8	10	7	12	4	2	12	10			7	7	6	125	2
