To	Total Score	Montenegro	Malta	Finland	Greece	Romania	Belarus	Albania	Moldova	Azerbaijan	Latvia	Serbia	Denmark	Switzerland	Belgium	France	Armenia	Ireland	Sweden	Germany	Australia	Czech Republic	Spain	Austria	Macedonia	Slovenia	Hungary	United Kingdom	Lithuania	Netherlands	Poland	Israel	Russia	San Marino	Italy	Iceland	Cyprus	Norway	Portugal	Estonia	Georgia
Slovenia	39	4		1						3	3	5							1						8				4		1	6				2		1			
France	4																3																	1							
Israel	97	3	5	3		1	2	5		7	1	6		3					4	5	2		1	2				5		5	4			2	8	5	6	4	7		1
Estonia	106	1	3	10			7	4		4	6	2	6		2				3	2	3		3	6	2		7		8	4	2	3	7		2	1	2	3	1		2
United Kingdom	5		1															1																3							
Armenia	34				1		4								3	3						2			3								6								12
Lithuania	30										7		1					7										4										6		2	3
Serbia	53	12						2						5							5	3		3	10	6		1		1		2			3						
Norway	102		2	4		6					2		3	10				4	7	4	4		2	4		4	4		5	3	3			6	5	10			6	4	
Sweden	365	5	10	12	4	8	10	7	8	6	12	8	12	12	12	8	7	10		10	12	10	8	7	5	12	10	12	10	10	12	10	8	7	12	12	10	12	8	10	7
Cyprus	11				10																					1															
Australia	196		6	5	5	2	6	3	4		5	3	8	8	4	2	1	5	12	7			7	12		2	8	10	3	8	8	7	4	8	6	8	4	10		5	
Belgium	217			7	7	7	8	1	6		4	4	7	2		12	4	2	10	8	6	6	6	5	1	3	12	3	7	12	5	4	10	5	7	4	7	7	5	7	6
Austria	0																																								
Greece	23							10									5																				8				
Montenegro	44							6		2		12					8		2						4	10															
Germany	0																																								
Poland	10															4		3										2							1						
Latvia	186		4	6	3	5	5		2	5		1	4	4	7	7	2	12	5	6	7	5	4	1		7	5	7	12	2	10		2	12	4	7	3	8	2	6	4
Romania	35								12				2		5								5				1					5					1		4		
Spain	15	2							1	1				1		5																1	1						3		
Hungary	19					4										1				1		1												4						8	
Georgia	51				2		3		5	10					1		10				1	4					3		6				5							1	
Azerbaijan	49	8	8			3			3													12							2				3								10
Russia	303	7	7	8	8	10	12	8	10	12	10	10	10	7	10	10	12	8	6	12	10	8	10	8	6	5	6	6		6	6	8			10	3	5	2	10	12	5
Albania	34	10			6										6										12																
Italy	292	6	12	2	12	12	1	12	7	8	8	7	5	6	8	6	6	6	8	3	8	7	12	10	7	8	2	8	1	7	7	12	12	10		6	12	5	12	3	8
