Participant	Albania	Armenia	Australia	Austria	Belarus	Belgium	Denmark	Estonia	F.Y.R. Macedonia	Finland	France	Georgia	Greece	Hungary	Moldova	Romania	Russia	Serbia	Spain	The Netherlands	Points	Place
Moldova	2	6			5				5			10				8		5			41	11
Armenia	5				7	12			7		5	8	7		4	1	12		4	5	77	7
Belgium	6	1	8	6	6		12	10	6	12	12	5	6	10	5	7	8	7	10	12	149	2
The Netherlands	1					6	7	5	1	3	2	2				3			3		33	14
Finland					1		2	4						2				4			13	16
Greece	12	8	6	4	3	3		1	4	2	3	4		3	3	6	5	6	2	6	81	6
Estonia		4	5	10	8	5	8		2	8	4	3	4	8	2	2	10	2	12	8	105	3
F.Y.R. Macedonia	10		3					2							1			12			28	15
Serbia		5	12	7	4		1		12	4	1		2	4			4			7	63	9
Hungary	3		2	5		4	4	12		7	6					10	2	8		4	67	8
Belarus		7					3					12	3		8		6				39	12
Russia	7	10	10	12	12	8	10	8	8	10	10	7	12	12	7	12		10	7	10	182	1
Denmark		2	4	1		1		7		1			1	7		5			1	3	33	13
Albania				3		10			10		7	6	10	1	6		3		6		62	10
Romania	8	3	1	8	2	7	6	3		6	8	1	5	5	12		1	3	8	2	89	5
Georgia	4	12	7	2	10	2	5	6	3	5			8	6	10	4	7	1	5	1	98	4
