Participant	Australia	Azerbaijan	Cyprus	Czech Republic	Germany	Iceland	Ireland	Israel	Italy	Latvia	Lithuania	Malta	Montenegro	Norway	Poland	Portugal	San Marino	Slovenia	Sweden	Switzerland	United Kingdom	Points	Place
Lithuania	4	7	7	1		4	7	4		10		4		10			3			3	3	67	7
Ireland		2	1	5	2					4	2		2				5	1	3		8	35	12
San Marino									6				5									11	16
Montenegro		10	2	6				7	4	2				3		5		10	7	1		57	9
Malta	3			4			3	10	1				10				7				5	43	11
Norway	8		6	7	7	10	4	1	2	7	8	5	6		6	8	8	6	12	10	2	123	4
Portugal		3			1								4					4		6	1	19	14
Czech Republic					4		1	8		1		1	1		8	1	4	3	1			33	13
Israel	7	8	10	2	8	8	8		12	3	4	10	3	8	10	10	6	5	10	7	12	151	3
Latvia	10	6	8	8	10	7	12	2	8		12	7		7	7	7	10	8	8	8	10	155	2
Azerbaijan	2		5	10		2		3			6	8	7		3	3			4			53	10
Iceland		5					2				1			2	2				2			14	15
Sweden	12	4	12	12	12	12	10	12	10	12	10	12	8	12	12	12	12	12		12	7	217	1
Switzerland		1				1								1	1							4	17
Cyprus	6				5	5	6	5	7	6	3	2		6	4	6	2	7	6	5	6	87	6
Slovenia	5	12	3	3	6	6		6	3	8	7	3	12	4	5	4	1			4		92	5
Poland	1		4		3	3	5		5	5	5	6		5		2		2	5	2	4	57	8
