Participant 	Andorra 	Armenia 	Azerbaijan 	Belgium 	Bosnia & Herzegovina 	Estonia 	Finland 	Germany 	Greece 	Ireland 	Israel 	Moldova 	Montenegro 	Norway 	Poland 	Romania 	Russia 	San Marino 	Slovenia 	Spain 	The Netherlands
Montenegro					12													1	10			23 	14
Israel	7	7	10	7	5		10	4	5				5	10	4	6	8	2	4	4	6 	104 	5
Estonia							7					1										8 	18
Moldova	1	6	5						4							10	5	5				36 	12
San Marino	2								3													5 	19
Belgium						6															10 	16 	17
Azerbaijan	8	2		5	3	4	5	8	7	5	5	10	3		10	7	10				4 	96 	6
Slovenia		4	1		10				2		2	2	10		2	1	2					36 	11
Norway	10	8	7	1	4	8	12	1		8	6	3	4		7	4	7	7	2	2	5 	106 	4
Poland		1	3					5	1	12				2		2	3	10		3		42 	10
Ireland				4	2	7	2				3		1	1						1	1 	22 	15
Andorra						3				1	4				1				1	12		22 	16
Bosnia & Herzegovina			4			1	8	7		3		6	12	12					12		7 	72 	9
Armenia	3			12	6	2	4	10	12	2	10	5	6	3	12	5	12	8	5	10	12 	139 	2
The Netherlands		3	2	8							1			7		3		3				27 	13
Finland	12			2	1	12		2	6	6		8	2	6	5		4	4	3	6		79 	8
Romania	6	5	6	6			1	3	8	7	8	12		5	3		1	6	6	8	3 	94 	7
Russia	4	12	8	3	7	10	6	6	10	4	12	7	8	8	8	8			7	5	2 	135 	3
Greece	5	10	12	10	8	5	3	12		10	7	4	7	4	6	12	6	12	8	7	8 	156 	1
