Participant 	Austria 	Belarus 	Belgium 	Bosnia & Herzegovina 	Bulgaria 	Cyprus 	Denmark 	Estonia 	F.Y.R. Macedonia 	France 	Germany 	Ireland 	Israel 	Italy 	Latvia 	Moldova 	Romania 	Slovakia 	Slovenia 	Sweden 	The Netherlands 	Ukraine
Bosnia & Herzegovina	12	5	4				7		12	10	7			4	2			12	12	8	10	4 	109 	5
Austria				7	10	4	5	2		1	12	2	1	5				5	7	4	3	1 	69 	7
The Netherlands			8		5																		13 	19
Belgium	1			8	6	2		1		6			2	2	3	6	8		2		6		53 	11
Slovakia	3	3	3	6					3			5				7	3		3			12 	48 	13
Ukraine		12		4	3	5	1	7	6				8	6		8	2	10	6	3			81 	6
Moldova		10			2				5		5	4	4	7	1		12	4					54 	10
Sweden	10	8	12	5		12	12	12	2	12	1	8	12	3	7	3	7	7	5		12	5 	155 	1
Cyprus											2			8								6 	16 	18
Bulgaria	2		1			10	4		1	3	4	1		10		5			4	1	2		48 	12
F.Y.R. Macedonia		7		10									3			1			8			7 	36 	16
Israel		6	2			1			7	7				1			4			5	5		38 	15
Slovenia	8			12	8	7	8	5	10	5	3	6	6		4	4	10	8			8		112 	3
Romania	6		10		1	8	6	6	4	8	6	3	7	12	5	12		6		7	4		111 	4
Estonia	5	1	6		4		3			4		10	5		8					6		8 	60 	9
Belarus				2		3		4	8						6	10	1	1				10 	45 	14
Latvia	4	2					2	8				7								2			25 	17
Denmark	7	4	7	1	12	6		10		2	10	12	10		12	2	5	3	10	12	7	3 	135 	2
Ireland			5	3	7		10	3			8				10		6	2	1	10	1	2 	68 	8
