Participant 	Albania 	Armenia 	Azerbaijan 	Bulgaria 	F.Y.R. Macedonia 	Finland 	France 	Georgia 	Germany 	Greece 	Hungary 	Iceland 	Israel 	Latvia 	Malta 	Norway 	Romania 	San Marino 	Spain 	Switzerland
Latvia					2			7				3								1 	13 	17
San Marino		4	1		5	1	5	1		1	2		4	3	6		4		10		47 	11
F.Y.R. Macedonia	12			5											5			2		4 	28 	16
Azerbaijan	8			12	8	3	8	12		12	12	8	12	7	12	5	12	3	2	3 	139 	1
Finland	1		3				7		3		5	7	1	8	1	8	3	7	8	2 	64 	9
Malta	6	7	12		12	5	2	6	5	5	8	6	2	6		12	7	10		7 	118 	4
Bulgaria	4	10	4		3		1	4		2	1					1	1	8	6		45 	12
Iceland		1				12			12		10			10		10			7	10 	72 	6
Greece	10	8	7	10	6	7		2	8		3	2	6	5	7	7	10	12	5	6 	121 	2
Israel	3	6	6	4		2	4	5	4			1					2		3		40 	14
Armenia				8			12	10	6	7			8	1	8	4	5				69 	7
Hungary	7			6		8	3	3	10				3	2		2	6	4		12 	66 	8
Norway		5	5	7	7	10		8	2	4	7	12	5	12	3		8	5	12	8 	120 	3
Albania			2		10					8								6		5 	31 	15
Georgia		12	10	3	4					6	4	4	7	4	4			1	4		63 	10
Switzerland	2	2		1		6	10		1	3	6	5			2	3					41 	13
Romania	5	3	8	2	1	4	6		7	10		10	10		10	6			1		83 	5
