Participant 	Albania 	Armenia 	Azerbaijan 	Belgium 	Denmark 	Estonia 	France 	Hungary 	Iceland 	Latvia 	Moldova 	Montenegro 	Portugal 	Russia 	San Marino 	Spain 	Sweden 	The Netherlands 	Ukraine
Armenia	5			3	5	5	12	8	3	6		10	4	12	10	6	8	12	12 	121 	4
Latvia			7	5	1	6		2	6				3		2		1			33 	13
Estonia		5	5				4		5	10						2	5			36 	12
Sweden	6	4		8	10	7	6	10	10	8	10	5	8	6	3	12		8	10 	131 	2
Iceland				4	8	2	8	6		5			1		7	3	7	7	3 	61 	8
Albania				2	2							12			5			1		22 	15
Russia		7	10	1	4	1		5	2	4	12	4	5				2		6 	63 	6
Azerbaijan	7					4	2	1	1	2	6	7	2	10	6			4	5 	57 	9
Ukraine	3	12	12	7	7	10		3	7	7	8	8	7	7	4	5	6	5		118 	5
Belgium		6	4				1				7	2		4	1			3		28 	14
Moldova	4											6		1					2 	13 	16
San Marino	8	2	6			3		7	4	1	1			3		1			4 	40 	10
Portugal	1	3	1	6	3		5				3	3				8	4	2		39 	11
The Netherlands	2	10	3	10	12	12	10	12	12	12	2	1	12	2	12	7	12		7 	150 	1
Montenegro	12	8	2				7	4			5		6	5		4	3	6	1 	63 	7
Hungary	10	1	8	12	6	8	3		8	3	4		10	8	8	10	10	10	8 	127 	3
